,study,ref,pubdate,collectdate,citations,porig,prep,result,norig,nrep_plan,nrep_act,powrep_plan,powrep_act,poworig,erel_ns,citationspermonth,eorig,eorigl95,eorigu95,eorigl90,eorigu90,e33orig,eorigpredl95,eorigpredu95,erep,erepl95,erepu95,erepl90,erepu90,emeta,emetal95,emetau95,emetal90,emetau90,ereprel,ereprell95,ereprelu95,emetarel,emetarell95,emetarelu95
0,Abeler et al. (AER 2011),33.0,2011-04-01,2015-11-27,311.0,0.046,0.16,0,120,318,318,0.9,0.9,,0.36054054,5.6545453,0.18282197,0.0037019465,0.35057524,0.032822132,0.32476738,0.13990784,-0.027290754,0.37746397,0.07907035,-0.031185584,0.18742514,-0.013440433,0.17023897,0.10743709,0.013553706,0.19944276,0.0287074,0.18484202,0.43249917,-0.17057897,1.0251784,0.5876596,0.074136086,1.0909125
1,Ambrus and Greiner (AER 2012),34.0,2012-12-01,2015-11-27,58.0,0.057,0.012,1,117,340,357,0.9,0.91,,0.6935484,1.6571429,0.31051865,-0.0055413074,0.57017356,0.046942502,0.53366923,0.24687958,-0.052761085,0.6012156,0.22953635,0.051675823,0.39328322,0.08080261,0.36827055,0.24905452,0.09514184,0.39133766,0.12040238,0.36947918,0.7392031,0.16641778,1.2665366,0.80205977,0.30639654,1.2602711
2,Bartling et al. (AER 2012),35.0,2012-04-01,2015-11-27,72.0,0.007,0.001,1,216,360,360,0.94,0.94,,1.2094594,1.6744186,0.7198499,0.24868628,0.91552645,0.3443759,0.89679813,0.4557495,0.09904901,0.9372936,0.6574113,0.3030546,0.85205406,0.37076107,0.8297011,0.6801887,0.41785014,0.83782935,0.46751288,0.8184312,0.91326165,0.42099693,1.1836551,0.94490355,0.5804684,1.1638945
3,Charness and Dufwenberg (AER 2011),36.0,2011-06-01,2015-11-27,63.0,0.01,0.003,1,162,264,264,0.9,0.9,,0.9338735,1.1886792,0.38394338,0.09449637,0.6135372,0.14360297,0.5815164,0.23491669,0.007190091,0.66524434,0.3630027,0.13067283,0.55753946,0.16978315,0.52934635,0.37126005,0.19335335,0.5255298,0.22319776,0.50257736,0.9454589,0.340344,1.4521399,0.9669656,0.50359863,1.368769
4,Chen and Chen (AER 2011),37.0,2011-10-01,2015-11-27,114.0,0.033,0.571,0,72,168,168,0.9,0.9,,0.21817876,2.3265307,0.84250855,0.09785618,0.98237413,0.27299705,0.9747364,0.6722412,-0.046810567,0.9867823,0.17018917,-0.39616346,0.6427308,-0.31319192,0.58353317,0.37871033,-0.12461807,0.7270193,-0.04102941,0.68483263,0.2020029,-0.47021893,0.76287746,0.44950324,-0.14791311,0.8629222
5,de Clippel et al. (AER 2014),38.0,2014-11-01,2015-11-27,7.0,0.001,4e-10,1,158,156,156,0.9,0.9,,3.2115386,0.5833333,0.11776898,0.04841497,0.18599285,0.059614554,0.1751267,0.054405212,0.019194001,0.21407643,0.26653826,0.20008425,0.3305512,0.21091126,0.32044452,0.19278772,0.14464936,0.24001564,0.15244141,0.23249252,2.2632298,1.6989554,2.8067765,1.6369991,1.2282467,2.0380208
6,Duffy and Puzzello (AER 2014),39.0,2014-06-01,2015-11-27,8.0,0.01,0.674,0,54,96,96,0.93,0.93,,-0.1875,0.47058824,0.7615102,0.19703712,0.94680107,0.31698468,0.9317245,0.5333252,0.03245213,0.9616307,-0.115963005,-0.5784188,0.40290257,-0.51733017,0.3272214,0.23173739,-0.21043064,0.5951939,-0.14039709,0.546502,-0.1522803,-0.75956804,0.5290836,0.3043129,-0.2763333,0.7815968
7,Dulleck et al. (AER 2011),40.0,2011-04-01,2015-11-27,115.0,1e-04,0.0008,1,168,128,128,0.92,0.92,,0.93846154,2.090909,0.7225092,0.4226442,0.8797912,0.4816874,0.86187,0.3392563,0.19688968,0.9255264,0.7316057,0.37013322,0.90067244,0.443013,0.8828126,0.72635496,0.51458627,0.8546054,0.5549759,0.83858675,1.0125902,0.5122886,1.2465895,1.0053228,0.7122211,1.1828297
8,Ericson and Fuster (QJE 2011),41.0,2011-10-01,2015-11-27,129.0,0.03,0.0546,0,112,250,262,0.9,0.91,,0.6875,2.632653,0.21292183,0.021203056,0.38953662,0.052512538,0.36261976,0.15035248,-0.0155309085,0.42024705,0.12287141,-0.001722093,0.2437084,0.018407488,0.22468166,0.14943777,0.04516625,0.2504882,0.06205759,0.23454456,0.57707286,-0.008087912,1.144591,0.7018434,0.21212597,1.1764326
9,Fehr et al. (AER 2013),42.0,2013-06-01,2015-11-27,82.0,0.011,0.026,1,60,102,102,0.91,0.91,,0.83587784,2.8275862,0.45328194,0.111166626,0.6993456,0.17058681,0.6670312,0.28227997,0.017327437,0.7444184,0.3111993,0.038956616,0.54043454,0.084258355,0.5074482,0.36442137,0.1544127,0.54292375,0.18971701,0.5167579,0.6865469,0.08594345,1.1922702,0.8039618,0.34065488,1.1977617
10,Friedman and Oprea (AER 2012),43.0,2012-02-01,2015-11-27,52.0,4e-11,0.004276,1,78,40,40,0.99,0.99,,0.6783311,1.1555556,0.6425901,0.4901487,0.75688875,0.51729685,0.7409148,0.1737976,0.35295793,0.81983954,0.43795362,0.14641982,0.6594908,0.1966868,0.62921053,0.58222294,0.44673994,0.6916011,0.47025293,0.67574596,0.6815443,0.22785883,1.0263009,0.9060565,0.6952176,1.076271
11,Fudenberg et al. (AER 2012),44.0,2012-04-01,2015-11-27,122.0,0.001,0.00015064729,1,124,120,128,0.9,0.92,,0.9649123,2.8372092,0.3037416,0.13463536,0.45565572,0.1626468,0.4326631,0.13762283,0.06359191,0.51063985,0.32657355,0.16223708,0.47328287,0.18954746,0.45112202,0.3153888,0.19886976,0.4231156,0.21808654,0.40648252,1.075169,0.5341286,1.558176,1.0383457,0.65473336,1.3930117
12,Huck et al. (AER 2011),45.0,2011-04-01,2015-11-27,14.0,0.0039,0.1415,0,120,160,160,0.91,0.91,,0.42566556,0.25454545,0.8320657,0.4941165,0.95157,0.5693285,0.94058484,0.4557495,0.33185902,0.96705395,0.36759353,-0.15665767,0.73023653,-0.07044564,0.6867814,0.6148387,0.2902126,0.8125639,0.3504706,0.78846,0.44178426,-0.18827559,0.87761885,0.73893046,0.34878567,0.9765622
13,Ifcher and Zarghamee (AER 2011),46.0,2011-12-01,2015-11-27,91.0,0.031,0.933,0,58,131,131,0.9,0.9,,-0.019019019,1.9361702,0.2821032,0.02567854,0.5036966,0.068068236,0.47131357,0.20185089,-0.026028605,0.5412811,-0.0070162914,-0.17832717,0.16470742,-0.15123324,0.13749312,0.08205559,-0.06256238,0.22329867,-0.039330278,0.20105484,-0.024871362,-0.6321345,0.5838552,0.29087082,-0.22177126,0.79154956
14,Kessler and Roth (AER 2012),47.0,2012-08-01,2015-11-27,37.0,1.631e-18,0.016,1,288,48,48,0.95,0.95,,0.6240209,0.94871795,0.48622337,0.39271343,0.5697825,0.4083836,0.5570427,0.090171814,0.21337713,0.6887102,0.3446384,0.06707162,0.5726929,0.11365316,0.5402772,0.46813655,0.3797682,0.54803866,0.39451408,0.53578705,0.70880675,0.13794404,1.177839,0.9628014,0.78105706,1.1271335
15,Kirchler et al (AER 2012),48.0,2012-04-01,2015-11-27,102.0,0.0163,0.0095,1,120,220,220,0.9,0.9,,0.30422536,2.372093,0.6644093,0.1462882,0.89647865,0.24715659,0.8738055,0.4557495,0.0075645107,0.92072517,0.5335568,0.14444058,0.77975726,0.21437165,0.7497832,0.5791468,0.2828522,0.77453977,0.33666807,0.7495933,0.80305445,0.21739699,1.1736099,0.87167174,0.42571983,1.165757
16,Kogan et al. (AER 2011),49.0,2011-04-01,2015-11-27,20.0,2.6e-05,0.001,1,126,90,90,0.94,0.94,,0.92515516,0.36363637,0.32389686,0.17766681,0.45613244,0.20190811,0.4359894,0.121082306,0.09138134,0.5229213,0.30422324,0.12576705,0.46360815,0.15535048,0.4395843,0.31586778,0.20397545,0.4196139,0.22241728,0.40356705,0.93925965,0.38829353,1.431345,0.975211,0.62975436,1.2955171
17,Kuziemko et al. (QJE 2014),50.0,2013-11-01,2015-11-27,48.0,0.07,0.154,0,42,138,144,0.91,0.92,,-0.38793105,2.0,0.28226173,-0.023703063,0.53987795,0.026744157,0.5031577,0.23774719,-0.064376004,0.568119,-0.1198489,-0.2779753,0.044601407,-0.2533126,0.018091965,-0.03146145,-0.17571619,0.11411599,-0.15286432,0.09087689,-0.42460203,-0.984814,0.15801436,-0.11146198,-0.62252927,0.4042914
